,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
SK-MEL-30,SK-MEL-30,Skin,26,SK-MEL-30,SK-MEL-30,1213,-0.334552363,SK-MEL-30,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,skin,SK-MEL-30,Skin,NA,Skin,Melanoma,67,Years,Male,Caucasian,601,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-MEL-30,SK-MEL-30
SK-MES-1,SK-MES-1,Lung,62,SK-MES-1,SK-MES-1,2120,-0.484516346,SK-MES-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,NA,lung,SK-MES-1,Lung,"Effusion, Pleural",Lung,Carcinoma Squamous Cell,65,Years,Male,Caucasian,490,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-MES-1,SK-MES-1
SK-N-AS,SK-N-AS,Brain,32,SK-N-AS,SK-N-AS,1460,-1.02977032,SK-N-AS,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,autonomic_ganglia,SK-N-AS,Brain,NA,Brain,Neuroblastoma,NA,NA,NA,NA,276,TRUE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",SK-N-AS,SK-N-AS
SK-N-BE(2),SK-N-BE(2),Brain,38,NA,SK-N-BE(2),5164,NA,SK-N-BE(2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autonomic_ganglia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SK-N-DZ,SK-N-DZ,Brain,28,SK-N-DZ,SK-N-DZ,2913,-0.962601958,SK-N-DZ,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,autonomic_ganglia,SK-N-DZ,Brain,NA,Brain,Neuroblastoma,2,Years,Female,Caucasian,275,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-N-DZ,SK-N-DZ
SK-N-FI,SK-N-FI,Brain,60,SK-N-FI,SK-N-FI,4908,-0.954358193,SK-N-FI,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,autonomic_ganglia,SK-N-FI,Brain,NA,Brain,Neuroblastoma,11,Years,Male,Caucasian,274,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-N-FI,SK-N-FI
SK-N-SH,SK-N-SH,Brain,55,NA,SK-N-SH,2520,-0.763141615,SK-N-SH,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,autonomic_ganglia,SK-N-SH,Brain,NA,Brain,Neuroblastoma,4,Years,Female,NA,60,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-N-SH,NA
SK-OV-3,SK-OV-3,Ovary,43,SK-OV-3,SK-OV-3,899,-0.282132148,SK-OV-3,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,ovary,SK-OV-3,Ovary,NA,Ovary,Adenocarcinoma,NA,NA,Female,Caucasian,429,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SK-OV-3,SK-OV-3
SNG-M,SNG-M,Uterus,63,SNG-M,SNG-M,440,NA,SNG-M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,endometrium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCI-SNU-16,SNU-16,Stomach,27,NCI-SNU-16,SNU-16,1158,1.083054061,NCI-SNU-16,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,4.882076793,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNU-182,SNU-182,Liver,63,NA,SNU-182,493,-0.177687997,SNU-182,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,liver,SNU-182,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,59,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SNU-182,NA
SNU-387,SNU-387,Liver,47,SNU-387,SNU-387,535,-0.624841379,SNU-387,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,1.352608226,liver,SNU-387,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,248,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",SNU-387,SNU-387
SNU-398,SNU-398,Liver,31,NA,SNU-398,1625,-0.706063943,SNU-398,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,liver,SNU-398,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,247,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",SNU-398,NA
SNU-423,SNU-423,Liver,39,SNU-423,SNU-423,294,-0.613382963,SNU-423,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,liver,SNU-423,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,158,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",SNU-423,SNU-423
SNU-449,SNU-449,Liver,34,SNU-449,SNU-449,653,-0.644804671,SNU-449,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,liver,SNU-449,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,246,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",SNU-449,SNU-449
SNU-475,SNU-475,Liver,34,SNU-475,SNU-475,716,-0.402110951,SNU-475,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,6.750099294,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,liver,SNU-475,Liver,NA,Liver,Carcinoma Hepatocellular,NA,NA,NA,NA,245,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine, 100mM HEPES","Complete growth medium, 90%; DMSO, 10%",SNU-475,SNU-475
NCI-SNU-5,SNU-5,Stomach,49,NCI-SNU-5,NA,NA,NA,NCI-SNU-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNU-C1,SNU-C1,Colon,41,SNU-C1,NA,2817,1.214031787,SNU-C1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,large_intestine,SNU-C1,Colo-Rectal,NA,Colon,Adenocarcinoma,71,Years,Male,NA,258,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SNU-C1,SNU-C1
SR,SR,Lymphoid,26,SR,NA,4193,-0.930079746,SR,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,SR,Lymphoid,NA,Lymph Node,Lymphoma Immunoblastic Large Cell,11,Years,Male,NA,141,TRUE,"RPMI-1640, 10% HI FBS, 2mM Glutamine","RPMI, 20% FBS, 10% DMSO",SR-786,SR
SU.86.86,SU.86.86,Pancreas,25,NA,SU.86.86,694,0.90575988,SU.86.86,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,SU.86.86,Pancreas,NA,Pancreas,Adenocarcinoma Ductal,57,Years,Female,Caucasian,410,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,SU.86.86,NA
SU-DHL-1,SU-DHL-1,Lymphoid,50,SU-DHL-1,NA,1603,-0.820357027,SU-DHL-1,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,SU-DHL-1,Lymphoid,NA,Lymph Node,Lymphoma Non-Hodgkins,10,Years,Male,NA,456,TRUE,"RPMI-1640, 10% HI FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",SU-DHL-1,SU-DHL-1
SU-DHL-10,SU-DHL-10,Lung,20,NA,SU-DHL-10,4152,-0.738233661,SU-DHL-10,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,haematopoietic_and_lymphoid_tissue,SU-DHL-10,Other,NA,Pleura,Lymphoma B-cell,NA,NA,Male,NA,455,TRUE,"90% RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SU-DHL-10,NA
SU-DHL-4,SU-DHL-4,Lymphoid,23,NA,SU-DHL-4,1769,-0.562348318,SU-DHL-4,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,SU-DHL-4,Lymphoid,NA,Lymph Node,Lymphoma B-cell,38,Years,Male,NA,453,TRUE,"RPMI-1640 10% HI FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",SU-DHL-4,NA
SU-DHL-6,SU-DHL-6,Lymphoid,NA,NA,SU-DHL-6,9869,-0.897356252,SU-DHL-6,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,SU-DHL-6,Lymphoid,NA,Lymph Node,Lymphoma,NA,NA,NA,NA,451,TRUE,"RPMI-1640 10% HI FBS, 2mM Glutamine","HI FBS, 90%; DMSO, 10%",SU-DHL-6,NA
SU-DHL-8,SU-DHL-8,Lymphoid,23,NA,SU-DHL-8,5016,-0.818032449,SU-DHL-8,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,5.156930587,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,haematopoietic_and_lymphoid_tissue,SU-DHL-8,Lymphoid,NA,Lymph Node,Lymphoma B-cell,59,Years,Male,NA,450,TRUE,"RPMI-1640 20% HI FBS, 2mM Glutamine","RPMI-1640, 20% HI FBS, 10% DMSO",SU-DHL-8,NA
SUIT-2,SUIT-2,Pancreas,26,NA,SUIT-2,959,0.036583313,SUIT-2,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,pancreas,SUIT-2,Pancreas,NA,Pancreas,Adenocarcinoma Tubular,73,Years,Male,Japanese,313,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SUIT-2,NA
SW1463,SW 1463,Colon,49,SW1463,NA,7338,1.034979232,SW1463,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,large_intestine,SW 1463,Colo-Rectal,NA,Colon,Adenocarcinoma,66,Years,Female,Caucasian,174,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","90% Complete Growth Media, 10% DMSO",SW1463,SW1463
SW1573,SW 1573,Lung,40,SW1573,SW 1573,1611,-0.718669346,SW1573,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,1.746497502,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,lung,SW 1573,Lung,NA,Lung,Adenocarcinoma Bronchioloalveolar,44,Years,Female,Caucasian,352,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW 1573,SW1573
SW1990,SW 1990,Pancreas,42,SW1990,SW 1990,1013,0.425393664,SW1990,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,4.143919906,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,1.352608226,pancreas,SW 1990,Pancreas,NA,Pancreas,Adenocarcinoma,56,Years,Male,Caucasian,409,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW 1990,SW1990
SW403,SW 403,Colon,60,NA,SW403,7072,0.947319782,SW403,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,large_intestine,SW 403,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,NA,NA,517,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW403,SW403
SW48,SW 48,Colon,33,SW48,SW48,2105,0.659856228,SW48,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,-0.982434321,-0.738098397,large_intestine,SW 48,Colo-Rectal,NA,Colon,Adenocarcinoma,82,Years,Female,Caucasian,173,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW48,SW48
SW480,SW 480,Colon,32,NA,SW480,1891,0.444752076,SW480,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,large_intestine,SW 480,Colo-Rectal,NA,Colon,Adenocarcinoma,50,Years,Male,Caucasian,54,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,SW480,NA
SW620,SW 620,Colon,32,SW620,SW620,3050,0.08974514,SW620,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,large_intestine,SW 620,Colo-Rectal,NA,Colon,Adenocarcinoma,51,Years,Male,Caucasian,54,FALSE,"Leibovitz's L-15 Medium, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW620,SW620
SW626,SW 626,Ovary,71,SW626,NA,1671,NA,SW626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW780,SW 780,Urinary,36,SW780,SW 780,674,1.161355954,SW780,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,11.09810827,-0.133084786,-0.73309137,1.016311367,-0.738098397,urinary_tract,SW 780,Urinary Bladder,NA,Urinary Bladder,Carcinoma Transitional Cell,80,Years,Female,Caucasian,168,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW 780,SW780
SW837,SW 837,Unclassified,48,SW837,NA,3035,0.72698958,SW837,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,11.09810827,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,large_intestine,SW 837,Colo-Rectal,NA,Rectum,Adenocarcinoma,53,Years,Male,Caucasian,132,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,SW837,SW837
SW948,SW 948,Colon,35,SW948,NA,3397,0.844395307,SW948,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,large_intestine,SW 948,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,NA,NA,516,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",SW948,SW948
SW982,SW 982,Breast,43,SW982,NA,1036,-0.806520123,SW982,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,1.352608226,soft_tissue,SW 982,Breast,NA,Breast,Sarcoma Synovial,25,Years,Female,Caucasian,272,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,SW982
T47D,T-47D,Breast,60,T47D,T-47D,2392,0.698425979,T47D,-0.313914399,-0.082088935,-0.073373083,-0.22172157,2.511028087,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,breast,T-47D,Breast,NA,Breast,Adenocarcinoma Ductal,54,Years,Female,NA,532,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",T-47D,T47D
T84,T84,Colon,66,T84,T84,5921,0.786948487,T84,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,3.613577764,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,large_intestine,T84,Colo-Rectal,Lung,Colon,Carcinoma,NA,NA,NA,NA,515,TRUE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",T84,T84
